,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
197,Australia,JP Faulkner,2013-2017,69,52,22,1032,116,34.40,990,104.24,1,4,4,83,29
198,Australia,SK Warne,1993-2003,193,106,28,1016,55,13.02,1411,72.00,-,1,10,60,13
199,Australia,MJ Slater,1993-1997,42,42,1,987,73,24.07,1634,60.40,-,9,3,95,2
200,Australia,GM Ritchie,1982-1987,44,42,7,959,84,27.40,1479,64.84,-,6,2,55,6
201,Australia,MG Johnson,2005-2015,153,91,32,951,73*,16.11,987,96.35,-,2,6,81,23
202,Australia,TD Paine,2009-2018,35,35,3,890,111,27.81,1257,70.80,1,5,1,96,6
203,Australia,AC Voges,2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,-,61,10
204,Australia,SB Smith,1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1,67+,0+
205,Australia,WB Phillips,1982-1986,48,41,6,852,75*,24.34,994,85.71,-,6,1,76+,5+
206,Australia,PJ Hughes,2013-2014,25,24,1,826,138*,35.91,1100,75.09,2,4,1,91,5
207,Australia,DW Hookes,1977-1986,39,36,2,826,76,24.29,1146,72.07,-,5,3,73,13
208,Australia,GN Yallop,1978-1984,30,27,6,823,66*,39.19,1288,63.89,-,7,1,64,3
209,Australia,GB Hogg,1996-2008,123,65,26,790,71*,20.25,1005,78.60,-,2,9,41,5
210,Australia,J Dyson,1980-1983,29,27,4,755,79,32.82,1553,48.61,-,4,1,55,2
211,Australia,IJ Harvey,1997-2004,73,51,11,715,48*,17.87,811,88.16,-,-,2,65,8
212,Australia,JP Inglis,2022-2025,30,27,3,674,120*,28.08,637,105.80,1,3,2,67,20
213,Australia,IM Chappell,1971-1980,16,16,2,673,86,48.07,874,77.00,-,8,-,74,7
214,Australia,CJ Ferguson,2009-2011,30,25,9,663,71*,41.43,777,85.32,-,5,-,64,0
215,Australia,PSP Handscomb,2017-2019,22,20,1,632,117,33.26,649,97.38,1,4,2,46,6
216,Australia,C Green,2020-2024,28,24,8,626,89*,39.12,756,82.80,-,2,-,54,12
217,Australia,GRJ Matthews,1984-1993,59,50,13,619,54,16.72,911,67.94,-,1,5,23,3
