,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
196,Australia,JD Wildermuth,2018-2018,2,1,1,1,1*,-,1,100.00,-,-,-,0,0
197,Australia,DE Bollinger,2011-2014,9,2,2,1,1*,-,1,100.00,-,-,-,0,0
198,Bangladesh,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
199,Bangladesh,Shakib Al Hasan,2006-2024,129,127,17,2551,84,23.19,2105,121.18,-,13,9,258,53
200,Bangladesh,Mahmudullah,2007-2024,141,130,26,2444,64*,23.50,2082,117.38,-,8,5,184,77
201,Bangladesh,Litton Das,2015-2025,107,105,3,2292,83,22.47,1834,124.97,-,12,6,221,71
202,Bangladesh,Tamim Iqbal,2007-2020,74,74,5,1701,103*,24.65,1448,117.47,1,7,6,180,44
203,Bangladesh,Mushfiqur Rahim,2006-2022,102,93,16,1500,72*,19.48,1304,115.03,-,6,8,126,37
204,Bangladesh,Soumya Sarkar,2015-2024,87,86,4,1462,68,17.82,1197,122.13,-,5,13,145,55
205,Bangladesh,Afif Hossain,2018-2024,70,64,9,1117,77*,20.30,938,119.08,-,3,6,83,38
206,Bangladesh,Najmul Hossain Shanto,2019-2025,50,48,5,987,71,22.95,905,109.06,-,4,-,89,20
207,Bangladesh,Sabbir Rahman,2014-2022,48,47,5,977,80,23.26,819,119.29,-,4,3,92,29
208,Bangladesh,Towhid Hridoy,2023-2025,43,40,6,900,63*,26.47,719,125.17,-,3,3,60,37
209,Bangladesh,Mohammad Naim,2019-2025,38,38,2,860,81,23.88,841,102.25,-,4,2,77,18
210,Bangladesh,Tanzid Hasan,2024-2025,29,29,3,655,73*,25.19,508,128.93,-,5,4,64,32
211,Bangladesh,Jaker Ali,2023-2025,33,30,9,571,72*,27.19,452,126.32,-,3,1,28,37
212,Bangladesh,Mohammad Ashraful,2007-2013,23,23,-,450,65,19.56,356,126.40,-,2,2,48,11
213,Bangladesh,Nurul Hasan,2016-2022,46,41,14,445,42*,16.48,376,118.35,-,-,4,27,16
214,Bangladesh,Anamul Haque,2012-2022,20,20,2,445,58,24.72,395,112.65,-,1,1,46,14
215,Bangladesh,Shamim Hossain,2021-2025,34,27,5,426,51,19.36,331,128.70,-,1,-,42,15
216,Bangladesh,Mehidy Hasan Miraz,2017-2025,34,29,4,418,46,16.72,358,116.75,-,-,2,37,10
217,Bangladesh,Mahedi Hasan,2018-2025,61,43,10,401,33,12.15,400,100.25,-,-,8,29,13
218,Bangladesh,Mosaddek Hossain,2016-2022,33,31,10,389,48*,18.52,341,114.07,-,-,4,26,11
219,Bangladesh,Mashrafe Mortaza,2006-2017,54,39,11,377,36,13.46,277,136.10,-,-,6,28,23
220,Bangladesh,Parvez Hossain Emon,2022-2025,17,17,1,373,100,23.31,269,138.66,1,2,5,30,25
221,Bangladesh,Nasir Hossain,2011-2016,31,24,4,370,50*,18.50,326,113.49,-,2,2,30,7
222,Bangladesh,Mohammad Saifuddin,2017-2025,41,23,12,247,39*,22.45,216,114.35,-,-,2,19,9
223,Bangladesh,Aftab Ahmed,2006-2010,11,11,1,228,62*,22.80,178,128.08,-,1,-,26,6
224,Bangladesh,Rony Talukdar,2015-2023,11,10,-,224,67,22.40,165,135.75,-,1,-,24,7
225,Bangladesh,Taskin Ahmed,2014-2025,76,36,16,200,31,10.00,210,95.23,-,-,6,18,6
226,Bangladesh,Nazimuddin,2007-2008,7,7,-,178,81,25.42,158,112.65,-,1,2,13,10
227,Bangladesh,Rishad Hossain,2023-2025,40,25,6,170,53,8.94,131,129.77,-,1,4,9,14
228,Bangladesh,Junaid Siddique,2007-2012,7,7,-,159,71,22.71,108,147.22,-,1,1,16,7
229,Bangladesh,Tanzim Hasan Sakib,2023-2025,28,17,7,139,50,13.90,134,103.73,-,1,1,8,7
230,Bangladesh,Naeem Islam,2008-2013,10,10,1,130,28,14.44,114,114.03,-,-,-,8,7
231,Bangladesh,Yasir Ali,2022-2023,11,11,3,128,42*,16.00,90,142.22,-,-,-,12,5
232,Bangladesh,Mohammad Mithun,2014-2021,17,13,1,127,47,10.58,136,93.38,-,-,2,10,4
233,Bangladesh,Imrul Kayes,2010-2017,14,13,-,119,36,9.15,134,88.80,-,-,4,14,3
234,Bangladesh,Ziaur Rahman,2012-2014,14,12,3,117,40*,13.00,91,128.57,-,-,3,3,10
235,Bangladesh,Mustafizur Rahman,2015-2025,111,33,14,87,15,4.57,117,74.35,-,-,7,3,5
236,Bangladesh,Shamsur Rahman,2013-2014,9,8,-,86,53,10.75,85,101.17,-,1,2,12,1
237,Bangladesh,Nasum Ahmed,2021-2025,36,17,9,77,19*,9.62,82,93.90,-,-,4,6,2
238,Bangladesh,Farhad Reza,2006-2014,13,9,-,72,19,8.00,88,81.81,-,-,1,4,2
239,Bangladesh,Shoriful Islam,2021-2025,50,21,8,66,16*,5.07,56,117.85,-,-,4,7,3
240,Bangladesh,Mominul Haque,2012-2014,6,4,1,60,26*,20.00,50,120.00,-,-,-,5,2
241,Bangladesh,Ariful Haque,2018-2018,9,8,4,59,18*,14.75,61,96.72,-,-,1,4,0
242,Bangladesh,Abu Hider,2016-2018,13,5,4,58,22*,58.00,43,134.88,-,-,-,5,4
243,Bangladesh,Sohag Gazi,2012-2015,10,7,3,57,24,14.25,59,96.61,-,-,-,3,1
244,Bangladesh,Alok Kapali,2007-2011,7,7,2,57,19,11.40,85,67.05,-,-,2,3,1
245,Bangladesh,Saif Hassan,2021-2023,5,5,1,52,50*,13.00,64,81.25,-,1,2,1,3
246,Bangladesh,Raqibul Hasan,2008-2010,5,5,-,51,18,10.20,62,82.25,-,-,-,3,1
247,Bangladesh,Hasan Mahmud,2020-2025,26,9,7,50,26*,25.00,51,98.03,-,-,1,0,4
248,Bangladesh,Abdur Razzak,2006-2014,34,20,10,41,9,4.10,74,55.40,-,-,5,1,0
249,Bangladesh,Shuvagata Hom,2016-2016,5,4,2,35,16*,17.50,35,100.00,-,-,-,3,1
250,Bangladesh,Aminul Islam,2019-2021,10,7,4,35,9,11.66,41,85.36,-,-,-,4,0
251,Bangladesh,Arafat Sunny,2014-2016,10,6,3,34,10,11.33,30,113.33,-,-,-,3,1
252,Bangladesh,Munim Shahriar,2022-2022,5,5,-,34,17,6.80,47,72.34,-,-,-,5,0
253,Bangladesh,Jahurul Islam,2010-2013,3,3,-,31,18,10.33,23,134.78,-,-,-,3,1
254,Bangladesh,Nadif Chowdhury,2006-2007,3,3,-,27,12,9.00,23,117.39,-,-,-,2,0
255,Bangladesh,Shahadat Hossain,2023-2023,3,2,-,26,21,13.00,33,78.78,-,-,-,3,0
256,Bangladesh,Shahriar Nafees,2006-2006,1,1,-,25,25,25.00,17,147.05,-,-,-,3,1
257,Bangladesh,Shafiul Islam,2010-2020,20,6,1,23,16,4.60,33,69.69,-,-,1,1,1
258,Bangladesh,Rubel Hossain,2009-2021,28,15,10,20,8*,4.00,36,55.55,-,-,4,1,0
259,Bangladesh,Muktar Ali,2016-2016,1,1,1,19,19*,-,15,126.66,-,-,-,1,1
260,Bangladesh,Rakibul Hasan,2023-2023,3,2,1,18,14,18.00,7,257.14,-,-,-,3,1
261,Bangladesh,Nazmul Islam,2018-2018,13,4,3,18,7,18.00,17,105.88,-,-,-,2,0
262,Bangladesh,Mehrab Hossain jnr,2008-2009,2,2,1,16,10,16.00,25,64.00,-,-,-,1,0
263,Bangladesh,Abul Hasan,2012-2018,5,2,-,14,9,7.00,11,127.27,-,-,-,2,0
264,Bangladesh,Mohammad Rafique,2006-2006,1,1,-,13,13,13.00,5,260.00,-,-,-,3,0
265,Bangladesh,Tanvir Islam,2023-2025,6,3,2,12,8,12.00,16,75.00,-,-,-,1,0
266,Bangladesh,Zakir Hasan,2018-2023,4,4,-,11,10,2.75,19,57.89,-,-,2,1,0
267,Bangladesh,Elias Sunny,2012-2012,7,4,2,9,5,4.50,9,100.00,-,-,-,1,0
